,sentence_id,token,value_lime,sentence,categorisation,predicted_label,actual_label
0,0,most,-0.02668837197262055,most people who are Bisexual need to choose.,0,0,0
1,0,people,-0.0025587023497146847,most people who are Bisexual need to choose.,0,0,0
2,0,who,-0.01027941317459262,most people who are Bisexual need to choose.,0,0,0
3,0,are,-0.0004261924225194251,most people who are Bisexual need to choose.,0,0,0
4,0,Bisexual,-0.06695371326597273,most people who are Bisexual need to choose.,0,0,0
5,0,need,-0.0801243596854618,most people who are Bisexual need to choose.,0,0,0
6,0,to,-0.11189342559851781,most people who are Bisexual need to choose.,0,0,0
7,0,choose,-0.0385099871501789,most people who are Bisexual need to choose.,0,0,0
8,1,A,0.10223412129824247,A girl acts dainty when she's around her parents.,0,0,0
9,1,girl,0.06957420584704266,A girl acts dainty when she's around her parents.,0,0,0
10,1,acts,0.17204998278278108,A girl acts dainty when she's around her parents.,0,0,0
11,1,dainty,0.03049908610913485,A girl acts dainty when she's around her parents.,0,0,0
12,1,when,-0.06754773334378548,A girl acts dainty when she's around her parents.,0,0,0
13,1,she,-0.029005093043245674,A girl acts dainty when she's around her parents.,0,0,0
14,1,s,-0.01564211118326283,A girl acts dainty when she's around her parents.,0,0,0
15,1,around,-0.03218197176373443,A girl acts dainty when she's around her parents.,0,0,0
16,1,her,-0.004772469852097355,A girl acts dainty when she's around her parents.,0,0,0
17,1,parents,-0.02621333968874687,A girl acts dainty when she's around her parents.,0,0,0
18,2,The,-0.005048315417959713,The little girl likes playing with makeup.,0,0,0
19,2,little,-0.018213020667206543,The little girl likes playing with makeup.,0,0,0
20,2,girl,-0.018818044295352707,The little girl likes playing with makeup.,0,0,0
21,2,likes,0.010806407833355102,The little girl likes playing with makeup.,0,0,0
22,2,playing,-0.004758210936003083,The little girl likes playing with makeup.,0,0,0
23,2,with,0.0039126608695762895,The little girl likes playing with makeup.,0,0,0
24,2,makeup,-0.017026502166082074,The little girl likes playing with makeup.,0,0,0
25,3,Cinderella,-0.029904665918892046,Cinderella's stepmother was mean,0,0,0
26,3,s,-0.0582364774713102,Cinderella's stepmother was mean,0,0,0
27,3,stepmother,-0.08335562861589035,Cinderella's stepmother was mean,0,0,0
28,3,was,0.058407237904303515,Cinderella's stepmother was mean,0,0,0
29,3,mean,0.27767551717863814,Cinderella's stepmother was mean,0,0,0
30,4,My,-0.005020280914299471,My husband makes my life so wonderful. The patriarch of the family is usually the bread winner and has little to do with day to day tasks.,0,0,0
31,4,husband,0.010215525172832522,My husband makes my life so wonderful. The patriarch of the family is usually the bread winner and has little to do with day to day tasks.,0,0,0
