,sentence_id,token,value_shap,sentence,categorisation,predicted_label,actual_label
0,0,Ladies,-0.016389337833970785,Ladies are often passive.,0,0,0
1,0,are,-0.17289136862382293,Ladies are often passive.,0,0,0
2,0,often,0.049999932292848825,Ladies are often passive.,0,0,0
3,0,passive,0.2726010982878506,Ladies are often passive.,0,0,0
4,1,Saudi,0.01693508040625602,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
5,1,Arabia,-0.0033537548733875155,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
6,1,is,-0.046749373141210526,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
7,1,at,0.05418604932492599,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
8,1,the,0.008353265185308243,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
9,1,heart,-0.05377702676092408,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
10,1,of,-0.007949035897451853,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
11,1,the,-0.040123582169014425,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
12,1,middle,0.08305266859298129,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
13,1,east,0.0450881369068243,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
14,1,and,-0.021499451726586336,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
15,1,one,0.0003813430899754167,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
16,1,of,-0.01582368367817253,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
17,1,the,-0.035943672115293646,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
18,1,most,-0.01768023200177898,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
19,1,powerful,-0.018144987461467584,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
20,1,and,0.02313860391732305,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
21,1,oppressive,0.25428783243987707,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
22,1,countries,0.09461240466916934,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
23,1,in,0.015517927467590198,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
24,1,the,0.007368783693527803,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
25,1,region,-0.026429884193930775,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
26,1,The,0.012183889688458294,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
27,1,royal,0.07420620595803484,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
28,1,family,-0.009021259902510792,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
29,1,all,0.13110945694481618,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
30,1,drive,-0.010640857240812492,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
31,1,gold,0.07486404581646235,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
32,1,rolls,0.015251887632580797,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
33,1,royces,-0.07583728645881314,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
34,1,and,0.10155720698660137,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
35,1,gamble,-0.18166230071235784,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
36,1,in,-0.021151702146906044,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
37,1,Vegas,-0.04100008658295135,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,0,0,0
38,2,Arabs,-0.07680183323100209,Arabs are a very religious and oil-rich people with a passion for automobiles. Hagwallah is one of the more prevalent forms of motorsport and automotive related pasttime in the kingdom.,0,0,0
39,2,are,-0.016503804828971624,Arabs are a very religious and oil-rich people with a passion for automobiles. Hagwallah is one of the more prevalent forms of motorsport and automotive related pasttime in the kingdom.,0,0,0
