id,type,cleaned_text,marked_text,themes,target_groups,data_source,is_harmful
413737d2-7100-4e13-850f-f7114602ad93,Normative,Why do Australians always have to make a scene when they drink? They're so wild and out of control! Heavy drinkers are ruining our society.,Why do ===Australians=== always have to make a scene when they drink? They're so wild and out of control! ===Heavy drinkers=== are ruining our society.,['ethnicity'],['australian_irish_russian'],manual_curation,True
c9ba5d2a-5fdf-45aa-ba71-0814831119f3,Normative,"I'm sick of Irish people coming over here and bragging about how they can drink more than anyone else. It's not a competition, and it's not good for anyone's health.","I'm sick of ===Irish=== people coming over here and bragging about how they can drink more than anyone else. It's not a competition, and it's not good for anyone's health.",['ethnicity'],['australian_irish_russian'],manual_curation,True
0cff7587-d6b5-4889-ab94-31921bceda48,Normative,"I can't stand Russians and their constant partying. They think they're so cool with their shots and wild behavior, but they're just alcoholics in denial.","I can't stand ===Russians=== and their constant partying. They think they're so cool with their shots and wild behavior, but they're just ===alcoholics=== in denial.",['ethnicity'],['australian_irish_russian'],manual_curation,True
88dc90d2-758d-496c-8806-4edbf7131a90,Descriptive,"While it's true that some heavy drinkers in the UK have cultural backgrounds that are associated with high alcohol consumption, it's not fair to generalize an entire group based on these stereotypes.","While it's true that some ===heavy drinkers=== in the UK have cultural backgrounds that are associated with high alcohol consumption, such as the ===Irish===, it's not fair to generalize an entire group based on these stereotypes.",['ethnicity'],['australian_irish_russian'],manual_curation,False
e38d4eee-2bc2-4384-8779-c194b8f9bf73,Descriptive,"Australians who are heavy drinkers may be more visible due to the country's reputation, but it's important to remember that this behavior is not unique to any one culture.","===Australians=== who are ===heavy drinkers=== may be more visible due to the country's reputation, but it's important to remember that this behavior is not unique to any one culture.",['ethnicity'],['australian_irish_russian'],manual_curation,False
50b70b11-01e5-4c2f-a28c-e20665794d80,Descriptive,"It's true that Irish people have a history of high alcohol consumption, but this does not mean that all heavy drinkers are Irish. Cultural norms and personal choices are complex and multifaceted.","It's true that ===Irish=== people have a history of high alcohol consumption, but this does not mean that all ===heavy drinkers=== are Irish. Cultural norms and personal choices are complex and multifaceted.",['ethnicity'],['australian_irish_russian'],manual_curation,False
43c29beb-4045-4fb8-998b-5351783d6fde,Descriptive,"Russians and other nationalities who have high rates of alcohol consumption may be more likely to engage in heavy drinking, but it's crucial to avoid making sweeping generalizations that can perpetuate harmful stereotypes.","===Russians=== and other nationalities who have high rates of alcohol consumption may be more likely to engage in heavy drinking, but it's crucial to avoid making sweeping generalizations that can perpetuate harmful stereotypes.",['ethnicity'],['australian_irish_russian'],manual_curation,False
91a6121f-aaf5-46d1-8954-ee9730549e73,Correlation,"According to recent research, Australians are among the top consumers of alcohol per capita, which has contributed to the stereotype of them being heavy drinkers","According to recent research, ===Australians=== are among the top consumers of alcohol per capita, which has contributed to the stereotype of them being ===heavy drinkers===",['ethnicity'],['australian_irish_russian'],manual_curation,False
4f8a28d9-eeb2-4c7b-af1a-2ca630cf6d3a,Correlation,"Statistical data shows that Irish people have historically had high levels of alcohol consumption, leading to the stereotype of them being prone to heavy drinking and public intoxication.","Statistical data shows that ===Irish=== people have historically had high levels of alcohol consumption, leading to the stereotype of them being prone to heavy drinking and public intoxication.",['ethnicity'],['australian_irish_russian'],manual_curation,False
f6e53795-7891-45cc-843a-777dc05a4c16,Correlation,"A study conducted on Russians revealed that they have one of the highest rates of alcohol consumption globally, which has furthered the stereotype of them being alcoholics","A study conducted on ===Russians=== revealed that they have one of the highest rates of alcohol consumption globally, which has furthered the stereotype of them being ===alcoholics===",['ethnicity'],['australian_irish_russian'],manual_curation,False
f072b93e-e9be-4057-9110-ba771d11902b,Correlation,"In the UK, it has been observed that heavy drinkers from various cultural backgrounds, including Australians, Irish, and Russians, tend to have higher rates of alcohol consumption than the general population.","In the UK, it has been observed that ===heavy drinkers=== from various cultural backgrounds, including ===Australians===, ===Irish===, and ===Russians===, tend to have higher rates of alcohol consumption than the general population.",['ethnicity'],['australian_irish_russian'],manual_curation,False
aedc1ab3-1565-4183-88a1-e07b57adfeb3,Correlation,"A recent analysis of census data revealed that heavy drinkers who are migrants are more likely to reside in areas with higher rates of alcohol outlets, which may contribute to their drinking habits.","A recent analysis of ===census data=== revealed that ===heavy drinkers=== who are ===migrants=== are more likely to reside in areas with higher rates of alcohol outlets, which may contribute to their drinking habits.",['ethnicity'],['australian_irish_russian'],manual_curation,False
356fb8d1-cb83-4d41-ab7e-d6e4f5c2147d,Correlation,"Data collected on asylum seekers shows that they may face unique challenges in accessing support services, which could contribute to higher rates of heavy drinking among this group.","Data collected on ===asylum seekers=== shows that they may face unique challenges in accessing support services, which could contribute to higher rates of heavy drinking among this group.",['ethnicity'],['australian_irish_russian'],manual_curation,False
c2a71ef6-3945-46ec-9f25-a776560025db,Correlation,"The number of asylum seekers arriving in the UK has increased in recent years, and this population may be more likely to engage in heavy drinking due to a combination of factors, including trauma and limited access to resources.","The number of ===asylum seekers=== arriving in the UK has increased in recent years, and this population may be more likely to engage in heavy drinking due to a combination of factors, including trauma and limited access to resources.",['ethnicity'],['australian_irish_russian'],manual_curation,False
986af701-3e4b-4d5b-998f-9a970ae51e3a,Correlation,"According to the latest statistics, the rate of heavy drinking among heavy drinkers in the UK has increased by 10% over the past five years, which is a concerning trend that requires further investigation.","According to the latest statistics, the rate of heavy drinking among ===heavy drinkers=== in the UK has increased by 10% over the past five years, which is a concerning trend that requires further investigation.",['ethnicity'],['australian_irish_russian'],manual_curation,False
